name,mjd,freq,bw,tobs,dt,df,betaeta,betaetaerr
a070121_033411.rf.pcm.dynspec,54121.14918978477,1432.75,231.0,2999.98,60.0,0.5,12471.760712937546,8141.486851459074
m2004-05-19-10.rf.pcm.dynspec,53144.43470109171,1405.25,50.5,1940.94,17.0,0.5,2452.705941675306,1322.7033353168713
m2004-11-08-03.rf.pcm.dynspec,53317.13584684491,1404.75,49.5,3066.72,17.0,0.5,3612.326990363346,1039.3163271858382
m2006-11-03-21.rf.pcm.dynspec,54042.88059697452,1340.75,49.5,3848.02,8.0,0.50001,6277.261630638825,4805.129751183365
m2010-06-18-07.rf.pcm.dynspec,55365.328570972335,1340.0,46.0,3881.36,67.0,0.5,2924.5414045516386,481.6012623476427
a050627_084205.rf.pcm.dynspec,53548.363078932234,1413.5,192.5,3669.98,60.0,0.5,1006.4756147456632,88.33156844916924
a050627_161611.rf.pcm.dynspec,53548.67847256657,1413.5,192.5,2759.98,60.0,0.5,809.414314197504,57.581678969012486
a050627_171711.rf.pcm.dynspec,53548.720833386076,1413.5,192.5,2520.01,60.0,0.5,1218.2020806944288,368.68643447954395
a050828_050733.rf.pcm.dynspec,53610.21412050418,1413.5,192.5,3840.0,60.0,0.5,3724.851247112766,709.2293291796827
a051003_015433.rf.pcm.dynspec,53646.080092875934,1413.5,192.5,3839.99,60.0,0.5,4994.850115091316,2497.5453033574217
a051113_233623.rf.pcm.dynspec,53687.984143859176,1368.75,231.0,3659.98,60.0,0.5,1997.2986045047908,159.06833506545257
a051129_193252.rf.pcm.dynspec,53703.81504623948,1368.75,231.0,3839.99,60.0,0.5,20212.96585529514,5534.382326541411
a051220_192253.rf.pcm.dynspec,53724.80821768593,1368.75,231.0,3839.98,60.0,0.5,6989.140009522404,2656.531033035347
a060102_173603.rf.pcm.dynspec,53737.73391215643,1368.75,231.0,3659.98,60.0,0.5,2098.0470920409266,411.35193514773715
a060104_171523.rf.pcm.dynspec,53739.71956013748,1368.75,231.0,3840.0,60.0,0.5,3586.3221676058156,560.9735122446757
a060302_143843.rf.pcm.dynspec,53796.61076398513,1368.75,231.0,3839.99,60.0,0.5,6172.173739403782,2802.2484415124527
a060305_150114.rf.pcm.dynspec,53799.62638892407,1368.75,231.0,3839.99,60.0,0.5,13375.07938641692,4436.715382338804
a060407_152453.rf.pcm.dynspec,53832.64282406578,1368.75,231.0,3839.99,60.0,0.5,7231.297546950257,3326.321586295338
a060421_211353.rf.pcm.dynspec,53846.88518521167,1368.75,231.0,3839.99,60.0,0.5,7332.1331577955025,2237.7062660083475
a060511_090033.rf.pcm.dynspec,53866.37592597587,1368.75,231.0,1380.0,60.0,0.5,6437.168711050538,839.5841925004934
a060527_085713.rf.pcm.dynspec,53882.373611123374,1368.75,231.0,3839.99,60.0,0.5,16342.186102408727,6210.788949408517
a060614_094953.rf.pcm.dynspec,53900.41018512878,1368.75,231.0,3659.99,60.0,0.5,10791.004525714501,3179.0123322502477
a060616_175053.rf.pcm.dynspec,53902.74421298562,1368.75,231.0,2699.99,60.0,0.5,947.3803327833382,168.71146218889285
a060701_052213.rf.pcm.dynspec,53917.22430560387,1368.75,231.0,3839.99,60.0,0.5,18365.48564944347,6399.069345144529
a060701_062805.rf.pcm.dynspec,53917.27002322123,1368.75,231.0,3779.99,60.0,0.5,17120.435671677766,6005.3971653854815
a060716_153850.rf.pcm.dynspec,53932.65243056482,1368.75,231.0,3659.99,60.0,0.5,12271.283338750747,7366.812337528089
a061019_033819.rf.pcm.dynspec,54027.15208338192,1368.75,231.0,3839.99,60.0,0.5,5742.802345334232,1690.122637968927
a061020_005500.rf.pcm.dynspec,54028.038657523175,1368.75,231.0,3839.98,60.0,0.5,6590.611887046701,3116.829365280953
a061102_213009.rf.pcm.dynspec,54041.89641208983,1368.75,231.0,1799.98,60.0,0.5,3324.801774802927,969.3458123580009
a061103_210749.rf.pcm.dynspec,54042.880902890036,1368.75,231.0,3839.98,60.0,0.5,5150.634603458422,1054.760173225763
a061126_200829.rf.pcm.dynspec,54065.839699154836,1368.75,231.0,3839.99,60.0,0.5,5550.387673728588,1195.877606510406
a061217_055651.rf.pcm.dynspec,54086.248263986934,1432.75,231.0,2699.99,60.0,0.5,7658.758153228027,2719.119691448761
a061217_210439.rf.pcm.dynspec,54086.878703674374,1432.75,231.0,3839.99,60.0,0.5,4560.640386467983,3564.8342657330118
a070101_050139.rf.pcm.dynspec,54101.209953805876,1432.75,231.0,2459.99,60.0,0.5,3608.448324115565,777.2785495146945
a070121_165621.rf.pcm.dynspec,54121.706249962175,1432.75,231.0,1439.99,60.0,0.5,1927.0294113910547,55.031051867491776
a070205_173649.rf.pcm.dynspec,54136.73437509263,1432.75,231.0,3839.99,60.0,0.5,3842.4172256193347,2733.594919447004
a070217_014711.rf.pcm.dynspec,54148.074884225876,1432.75,231.0,2999.99,60.0,0.5,5063.1534864548175,2711.595024359232
a070307_134311.rf.pcm.dynspec,54166.57210651507,1432.75,231.0,3839.99,60.0,0.5,10616.765266604936,4451.996735267019
a070310_132751.rf.pcm.dynspec,54169.561458279975,1432.75,231.0,3839.98,60.0,0.5,13554.8114667441,5482.770429774
a070326_133139.rf.pcm.dynspec,54185.564120472234,1432.75,231.0,3839.99,60.0,0.5,8659.450266410144,2516.4300644157424
a070604_182627.rf.pcm.dynspec,54255.768865782535,1368.75,231.0,3839.99,60.0,0.5,1621.1399537208338,212.35088323517965
a071202_201110.rf.pcm.dynspec,54436.84149310877,1368.75,231.0,3800.0,50.0,0.5,10583.314349190523,2406.180348937831
a071217_184452.rf.pcm.dynspec,54451.78165511106,1368.75,231.0,3799.99,50.0,0.5,1915.7796618738948,192.20021448129896
m2002-12-14-06.rf.pcm.dynspec,52622.261335397634,1405.25,50.0,1992.85,17.0,0.5,3460.499455293747,1086.8126297290164
m2002-12-14-06.rf.pcm.dynspec,52622.261335397634,1405.25,50.0,1992.85,17.0,0.5,3460.499455293747,1086.8126297290164
m2003-10-08-00.rf.pcm.dynspec,52920.04059223891,1404.75,49.5,3616.23,17.0,0.5,9037.075319522231,3745.976917996092
m2004-03-06-13.rf.pcm.dynspec,53070.58225938573,1405.5,51.0,1973.31,17.0,0.5,1177.8318783939683,108.31412826509163
m2004-04-12-17.rf.pcm.dynspec,53107.71629151813,1405.5,51.0,3704.0,39.0,0.5,21131.45140006508,14388.790337615828
m2004-06-10-09.rf.pcm.dynspec,53166.40486556583,1405.5,51.0,1940.2,17.0,0.5,3728.4234180465883,2142.373445235095
m2004-06-12-09.rf.pcm.dynspec,53168.39099725771,1405.5,51.0,1938.92,17.0,0.5,1270.7201966313112,286.1701656107049
m2004-06-25-12.rf.pcm.dynspec,53181.51108074534,1405.0,50.0,3858.01,17.0,0.5,8022.921344551901,2719.4143153396853
m2004-08-10-04.rf.pcm.dynspec,53227.19848575321,1405.5,51.0,2780.19,17.0,0.5,4418.005243866706,1137.7438351327753
